Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,1000,28183.2,28.1832,4.34651,0.0434783,1.20019,0.114898,0,0,695.652,108.696,65.2174,65.2174,21.7391,43.4783,32
BR,1,1000,23584.9,23.5849,0,0,1.22944,0,0,0,500,195.652,130.435,0,130.435,43.4783,33
BR,1,1000,25244.4,25.2444,4.34783,0.0434783,1.63516,0.114898,0,0,630.435,43.4783,86.9565,130.435,65.2174,43.4783,31
BR,1,2000,51863.6,25.9318,3.22291,0.0322581,2.9823,0.114899,0,0,1225.81,215.054,279.57,129.032,21.5054,129.032,2
BR,1,2000,46885.8,23.4429,3.21324,0.0322581,2.85405,0.114899,0,0,1096.77,150.538,322.581,107.527,215.054,107.527,4
BR,1,2000,45240.8,22.6204,6.43928,0.0645161,3.54993,0.114899,0,0,989.247,236.559,365.591,172.043,107.527,129.032,3
BR,1,2000,47734.8,23.8674,5.36998,0.0537634,3.94459,0.114898,0,0,1053.76,344.086,150.538,172.043,107.527,172.043,1
BR,1,2000,47348.2,23.6741,9.69579,0.0967742,2.79845,0.114898,0,0,1032.26,344.086,215.054,150.538,64.5161,193.548,8
BR,1,2000,52790.4,26.3952,3.22363,0.0322581,3.51201,0.114898,0,0,1247.31,236.559,258.065,107.527,64.5161,86.0215,5
BR,1,2000,48040.1,24.02,5.37401,0.0537634,3.56219,0.114898,0,0,1118.28,215.054,215.054,215.054,21.5054,215.054,6
BR,1,2000,48559.9,24.2799,6.45524,0.0645161,3.96112,0.114898,0,0,1053.76,344.086,279.57,172.043,21.5054,129.032,7
BR,1,2000,52156.1,26.0781,1.07156,0.0107527,3.9171,0.114898,0,0,1225.81,236.559,236.559,150.538,86.0215,64.5161,9
